country,iso_code,renewables_share_elec,solar_electricity,wind_electricity,hydro_electricity,other_renewable_electricity,fossil_electricity,nuclear_electricity,electricity_generation,population
Argentina,ARG,34.580,5.140,18.620,26.250,2.950,89.430,10.760,153.150,45851379
Armenia,ARM,38.992,1.070,0.000,2.720,0.000,3.310,2.620,9.720,2952355
Australia,AUS,38.618,56.090,39.230,12.220,3.040,175.760,,286.340,26974024
Austria,AUT,83.597,10.310,8.310,37.930,4.660,12.010,0.000,73.220,9113578
Azerbaijan,AZE,12.140,0.000,0.090,3.220,0.100,24.680,0.000,28.090,10397712
Bangladesh,BGD,2.137,1.560,0.000,0.650,0.000,101.190,0.000,103.400,175686904
Belarus,BLR,4.831,0.370,0.480,0.930,0.460,27.160,16.970,46.370,8997601
Belgium,BEL,38.935,10.450,13.720,0.440,3.770,20.400,24.110,72.890,11758601
Bolivia,BOL,36.097,0.400,0.280,3.800,0.440,8.710,0.000,13.630,12581847
Bosnia and Herzegovina,BIH,43.560,0.590,0.370,5.290,0.040,8.150,0.000,14.440,3140098
Brazil,BRA,86.601,88.640,117.580,388.630,55.120,84.690,15.870,750.530,212812397
Bulgaria,BGR,32.798,6.890,1.320,2.530,1.710,10.660,14.850,37.960,6714556
Cambodia,KHM,40.878,1.890,,5.310,0.060,10.500,,17.760,17847981
Canada,CAN,63.900,10.170,51.480,344.740,10.520,150.210,85.320,652.440,40126728
Chile,CHL,66.373,22.180,11.580,19.680,5.300,29.760,0.000,88.500,19859919
China,CHN,37.044,1174.960,1135.440,1397.060,213.010,6175.280,487.610,10583.360,1416096093
Colombia,COL,77.025,4.600,0.150,62.500,2.350,20.760,0.000,90.360,53425629
Costa Rica,CRI,100.000,0.090,1.550,9.580,1.590,0.000,0.000,12.810,5152949
Croatia,HRV,76.259,1.290,3.150,5.770,1.000,3.490,0.000,14.700,3848164
Cyprus,CYP,27.750,1.370,0.210,0.000,0.060,4.270,0.000,5.910,1370754
Czechia,CZE,16.848,4.390,0.570,1.710,6.050,30.840,31.940,75.500,10609241
Denmark,DNK,91.171,4.450,19.210,0.020,6.680,2.940,0.000,33.300,6002515
Dominican Republic,DOM,23.810,2.250,1.420,1.530,0.200,17.280,0.000,22.680,11520483
Ecuador,ECU,79.399,0.040,0.190,28.510,0.320,7.540,0.000,36.600,18289898
Egypt,EGY,13.015,7.610,9.300,15.070,0.000,213.730,,245.710,118365995
El Salvador,SLV,86.533,1.310,0.200,1.960,2.120,0.870,,6.460,6365506
Estonia,EST,59.574,1.130,1.150,0.030,1.330,2.470,0.000,6.110,1344236
Ethiopia,ETH,100.000,0.040,1.100,32.190,0.040,0.000,0.000,33.370,135472048
Finland,FIN,56.464,0.980,22.580,12.440,10.470,3.010,32.820,82.300,5623328
France,FRA,26.064,31.820,46.490,59.410,10.840,29.350,392.070,569.980,66650804
Georgia,GEO,79.630,0.030,0.080,10.640,0.000,2.750,0.000,13.500,3806669
Germany,DEU,59.092,89.620,136.030,19.560,50.530,204.730,0.000,500.470,84075075
Greece,GRC,49.700,12.920,11.910,3.420,0.710,29.310,0.000,58.270,9938847
Hungary,HUN,35.313,10.980,0.600,0.230,2.400,9.930,16.100,40.240,9632286
India,IND,24.067,195.990,103.980,177.970,23.040,1526.790,53.830,2081.600,1463865527
Iran,IRN,3.843,0.900,1.250,13.030,0.030,373.220,7.350,395.780,92417684
Ireland,IRL,48.142,1.470,11.760,0.650,1.020,16.050,0.000,30.950,5308035
Israel,ISR,16.931,13.280,0.460,0.000,0.160,68.200,0.000,82.100,9517182
Italy,ITA,48.776,44.630,21.480,41.700,21.300,135.590,0.000,264.700,59146263
Japan,JPN,23.569,101.060,12.850,73.900,54.920,693.040,94.090,1029.860,123103480
Kazakhstan,KAZ,14.860,2.040,5.830,10.510,0.000,105.310,,123.690,20843758
Kenya,KEN,90.028,0.650,2.300,2.940,6.750,1.400,0.000,14.040,57532491
Kuwait,KWT,2.238,0.210,1.860,0.000,0.000,90.420,0.000,92.490,5026079
Kyrgyzstan,KGZ,84.728,0.000,0.000,13.370,0.000,2.410,0.000,15.780,7295037
Latvia,LVA,73.046,0.820,0.220,2.930,0.610,1.690,0.000,6.270,1853560
Lithuania,LTU,77.615,1.670,3.990,0.350,0.890,1.990,0.000,8.890,2830150
Malaysia,MYS,20.652,4.510,0.000,35.240,1.780,159.560,,201.090,35977834
Mexico,MEX,23.092,26.340,21.380,28.750,5.960,264.380,10.160,356.970,131946897
Moldova,MDA,11.201,0.160,0.160,0.350,0.020,5.470,0.000,6.160,2996104
Mongolia,MNG,8.359,0.210,0.540,0.060,0.000,8.880,0.000,9.690,3517097
Morocco,MAR,23.955,2.570,7.140,0.910,0.040,33.840,0.000,44.500,38430774
Netherlands,NLD,51.200,28.500,33.700,0.050,6.850,61.870,3.990,134.960,18346823
New Zealand,NZL,88.533,0.370,4.220,23.770,10.010,4.970,0.000,43.340,5251897
Nigeria,NGA,31.319,0.130,0.000,12.820,0.060,28.530,0.000,41.540,237527788
North Macedonia,MKD,47.214,1.620,0.200,1.360,0.040,3.600,0.000,6.820,1813792
Norway,NOR,98.999,0.530,13.560,144.770,0.340,1.610,0.000,160.810,5623074
Oman,OMN,4.542,2.300,0.100,0.000,0.000,50.440,0.000,52.840,5494696
Pakistan,PAK,42.747,36.610,5.740,39.350,1.670,87.950,23.710,195.030,255219560
Paraguay,PRY,100.000,0.000,0.000,45.110,0.240,0.000,0.000,45.350,7013079
Peru,PER,63.650,1.830,2.110,33.880,0.650,21.970,0.000,60.440,34576673
Philippines,PHL,23.311,3.000,1.460,12.700,11.540,94.420,0.000,123.120,116786960
Poland,POL,31.508,19.550,24.620,1.700,8.720,118.670,0.000,173.260,38140913
Portugal,PRT,80.951,8.860,13.670,15.180,3.680,9.740,0.000,51.130,10411831
Puerto Rico,PRI,6.364,1.000,0.230,0.050,0.010,18.980,0.000,20.270,3235290
Qatar,QAT,4.058,2.150,0.000,0.000,0.130,53.900,0.000,56.180,3115891
Romania,ROU,47.039,4.880,5.970,12.090,0.490,16.180,10.200,49.810,18908655
Russia,RUS,17.353,2.840,3.640,199.730,0.770,767.160,218.650,1192.790,143997393
Serbia,SRB,27.799,0.160,1.470,8.140,0.410,26.440,0.000,36.620,6689038
Singapore,SGP,5.486,1.640,,,1.660,56.850,,60.150,5870749
Slovakia,SVK,18.729,0.700,0.000,3.160,1.590,4.320,19.330,29.100,5474874
Slovenia,SVN,39.623,1.540,0.010,4.040,0.290,3.130,5.830,14.840,2117070
South Africa,ZAF,13.635,19.480,11.320,1.830,0.470,199.450,10.210,242.760,64747319
South Korea,KOR,10.394,37.800,3.640,3.800,19.690,375.060,184.670,624.660,51667035
Spain,ESP,55.858,62.900,58.760,32.740,6.410,73.010,54.070,287.890,47889960
Sri Lanka,LKA,61.623,2.840,0.930,6.590,0.270,6.620,,17.250,23229474
Sweden,SWE,71.191,4.430,38.900,68.240,9.960,2.080,47.100,170.710,10656636
Switzerland,CHE,67.825,7.890,0.140,33.990,2.080,1.500,19.420,65.020,8967413
Taiwan,TWN,12.240,15.680,12.010,5.510,2.100,249.840,3.250,288.390,23112797
Tajikistan,TJK,94.366,0.000,0.000,23.280,0.000,1.390,0.000,24.670,10786738
Thailand,THA,16.575,9.980,3.410,7.620,10.190,157.040,,188.240,71619866
Tunisia,TUN,4.034,0.560,0.330,0.010,0.000,21.410,0.000,22.310,12348576
Turkey,TUR,43.257,37.250,39.420,57.270,19.130,200.790,0.000,353.860,87685427
United Kingdom,GBR,51.972,19.320,85.840,5.550,41.210,104.010,36.380,292.310,69551334
United States,USA,25.638,388.820,464.390,241.700,63.890,2576.210,784.780,4519.790,347275809
Uruguay,URY,97.822,0.610,4.850,3.250,2.970,0.260,0.000,11.940,3384686
Uzbekistan,UZB,19.377,6.500,4.000,6.300,0.000,69.900,0.000,86.700,37053428
Vietnam,VNM,45.418,23.040,14.370,102.350,1.030,169.200,0.000,309.990,101598530
