year,solar_electricity,wind_electricity,hydro_electricity,other_renewable_electricity,fossil_electricity,nuclear_electricity,renewables_share_elec,electricity_generation
1985,0.012,0.064,1979.244,78.703,6285.474,1488.922,20.817,9886.064
1986,0.015,0.139,2006.073,85.443,6439.975,1594.736,20.545,10180.790
1987,0.011,0.195,2033.192,91.516,6757.762,1734.733,19.914,10670.628
1988,0.010,0.332,2098.349,94.161,6998.179,1891.249,19.683,11140.627
1989,0.262,2.650,2087.587,104.672,7455.736,1945.011,18.830,11657.959
1990,0.388,3.632,2158.622,117.224,7615.062,2000.596,19.060,11961.414
1991,0.505,4.086,2208.544,122.263,7722.664,2096.310,19.107,12222.524
1992,0.467,4.733,2208.315,131.160,7807.950,2112.223,19.006,12336.403
1993,0.557,5.704,2341.321,135.481,7858.753,2184.965,19.707,12599.928
1994,0.597,7.132,2355.906,140.677,8119.233,2225.979,19.378,12923.577
1995,0.639,8.272,2483.389,146.642,8335.389,2322.530,19.720,13381.867
1996,0.699,9.216,2516.815,150.704,8627.088,2406.615,19.406,13797.155
1997,0.750,12.028,2561.356,161.412,8911.250,2390.064,19.362,14128.604
1998,0.812,15.929,2580.933,168.217,9214.596,2431.195,19.061,14511.013
1999,0.905,21.227,2600.469,176.648,9498.806,2523.706,18.754,14926.271
2000,1.020,31.150,2629.670,197.780,9878.700,2540.460,18.716,15278.780
2001,1.360,38.190,2563.720,193.700,10090.690,2613.170,18.044,15500.830
2002,1.720,52.220,2611.580,208.640,10520.950,2654.780,17.908,16049.890
2003,2.110,63.200,2611.970,222.980,11126.700,2601.050,17.442,16628.010
2004,2.780,85.480,2802.610,240.670,11564.040,2719.410,17.982,17414.990
2005,3.950,104.400,2911.770,261.350,12125.640,2726.970,18.096,18134.080
2006,5.420,133.200,3018.070,277.370,12643.340,2761.590,18.228,18838.990
2007,7.290,171.150,3062.780,302.100,13467.150,2703.490,17.974,19713.961
2008,11.850,220.850,3245.350,322.970,13606.900,2694.720,18.908,20102.641
2009,19.820,276.260,3241.270,345.120,13404.280,2656.760,19.467,19943.510
2010,32.210,345.990,3428.210,386.910,14344.520,2725.910,19.721,21263.750
2011,63.560,439.980,3488.070,406.350,14963.730,2610.340,20.016,21972.029
2012,96.920,529.260,3660.170,436.860,15360.230,2432.220,20.977,22515.660
2013,131.750,634.140,3790.790,470.790,15679.040,2448.520,21.712,23155.029
2014,197.740,706.100,3870.670,512.210,15961.620,2498.730,22.263,23747.070
2015,256.010,829.630,3882.130,544.870,15956.780,2532.930,22.967,24002.350
2016,327.470,960.300,4014.750,557.950,16262.990,2571.050,23.732,24694.510
2017,444.650,1139.440,4054.030,586.210,16622.480,2594.230,24.466,25441.039
2018,575.160,1268.140,4176.840,619.460,17166.189,2658.700,25.089,26464.490
2019,697.940,1420.960,4227.760,648.950,17082.730,2754.080,26.071,26832.420
2020,853.390,1591.470,4347.020,687.290,16595.869,2648.330,27.987,26723.369
2021,1053.990,1856.940,4288.700,741.630,17555.369,2762.440,28.102,28259.070
2022,1333.120,2107.660,4324.070,757.140,17756.131,2639.640,29.470,28917.760
2023,1664.140,2319.180,4240.110,772.020,17972.150,2697.740,30.323,29665.340
2024,2142.650,2509.500,4433.650,791.810,18275.510,2777.110,31.935,30930.230
2025,2778.640,2713.140,4434.970,799.740,18234.289,2811.570,33.760,31772.350
